Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",14.400000,-2.700000,-90.000000,top
"C2","4.7u","C_0402_1005Metric",51.300000,-8.300000,-90.000000,top
"C3","4.7u","C_0402_1005Metric",70.910000,-57.200000,-90.000000,top
"C4","4.7u","C_0402_1005Metric",69.900000,-57.200000,-90.000000,top
"C5","4.7u","C_0402_1005Metric",60.600000,-13.200000,-90.000000,top
"C6","30p","C_0603_1608Metric",64.300000,-62.300000,-90.000000,top
"C7","100n","C_0402_1005Metric",85.200000,-69.000000,180.000000,top
"C8","30p","C_0603_1608Metric",69.100000,-62.300000,90.000000,top
"C10","1u","C_0402_1005Metric",77.800000,-69.000000,90.000000,top
"C11","1u","C_0402_1005Metric",78.600000,-66.700000,90.000000,top
"C12","100n","C_0402_1005Metric",68.800000,-64.500000,180.000000,top
"C13","100n","C_0402_1005Metric",73.000000,-59.100000,90.000000,top
"C14","100n","C_0402_1005Metric",79.100000,-64.400000,0.000000,top
"C15","100n","C_0402_1005Metric",4.000000,-7.800000,0.000000,top
"C16","100n","C_0402_1005Metric",77.080000,-59.400000,0.000000,top
"C17","100n","C_0402_1005Metric",77.000000,-69.000000,-90.000000,top
"C18","100n","C_0402_1005Metric",68.800000,-65.400000,180.000000,top
"C19","100n","C_0402_1005Metric",73.000000,-69.300000,-90.000000,top
"C20","100n","C_0402_1005Metric",79.100000,-63.500000,0.000000,top
"C21","4.7u","C_0402_1005Metric",55.900000,-14.100000,-90.000000,top
"D1","1N4148W","D_SOD-123",88.700000,-17.100000,90.000000,top
"D2","1N4148W","D_SOD-123",69.700000,-17.600000,90.000000,top
"D3","1N4148W","D_SOD-123",50.700000,-17.500000,90.000000,top
"D4","1N4148W","D_SOD-123",31.800000,-17.400000,90.000000,top
"D5","1N4148W","D_SOD-123",12.700000,-17.500000,90.000000,top
"D6","1N4148W","D_SOD-123",80.500000,-27.300000,-90.000000,top
"D7","1N4148W","D_SOD-123",61.500000,-27.300000,-90.000000,top
"D8","1N4148W","D_SOD-123",42.500000,-27.300000,-90.000000,top
"D9","1N4148W","D_SOD-123",23.500000,-27.300000,-90.000000,top
"D10","1N4148W","D_SOD-123",91.700000,-55.200000,90.000000,top
"D11","1N4148W","D_SOD-123",72.400000,-46.400000,-90.000000,top
"D12","1N4148W","D_SOD-123",53.400000,-46.300000,-90.000000,top
"D13","1N4148W","D_SOD-123",34.400000,-46.400000,-90.000000,top
"D14","1N4148W","D_SOD-123",15.300000,-46.300000,-90.000000,top
"D15","1N4148W","D_SOD-123",46.500000,-65.300000,-90.000000,top
"D16","1N4148W","D_SOD-123",17.500000,-65.200000,-90.000000,top
"D17","DSL14","D_SOD-123",54.100000,-13.000000,90.000000,top
"D18","A-SP192SGHC-C01-3C","LED_SMD_0603_flat",65.400000,-0.550000,0.000000,top
"F1","500mA","Fuse_0603_1608Metric",52.400000,-10.300000,-90.000000,top
"J3","TYPE-C sinking plate","USB_C_Receptacle_XYECONN TYPE-C-F02C-1BBWC1.6",55.800000,-2.500000,180.000000,top
"Q1","2N7002VC-","SOT-563",61.100000,-60.540000,0.000000,top
"Q2","2N7002VC-","SOT-563",74.810000,-57.200000,180.000000,top
"R1","10k","R_0402_1005Metric",60.200000,-65.400000,-90.000000,top
"R2","10k","R_0402_1005Metric",77.210000,-57.700000,180.000000,top
"R3","10k","R_0402_1005Metric",61.100000,-65.410000,-90.000000,top
"R4","51k","R_0402_1005Metric",72.910000,-57.200000,90.000000,top
"R5","51k","R_0402_1005Metric",71.910000,-57.200000,-90.000000,top
"R6","51k","R_0402_1005Metric",71.400000,-58.700000,180.000000,top
"R7","5.1k","R_0402_1005Metric",60.325000,-8.050000,180.000000,top
"R8","5.1k","R_0402_1005Metric",54.100000,-9.550000,90.000000,top
"R9","1k","R_0402_1005Metric",79.400000,-57.100000,180.000000,top
"R10","10k","R_0402_1005Metric",68.000000,-3.300000,0.000000,top
"R11","10k","R_0402_1005Metric",86.200000,-59.200000,180.000000,top
"R12","27","R_0603_1608Metric",82.400000,-70.100000,135.000000,top
"R13","27","R_0603_1608Metric",81.410051,-71.089949,135.000000,top
"R14","1k","R_0402_1005Metric",66.400000,-64.300000,0.000000,top
"R15","10k","R_0402_1005Metric",68.000000,-4.300000,180.000000,top
"SW17","MSK13C02","SWITCH_MSK13C02",37.000000,-1.800000,180.000000,top
"SW18","SWITCH","SW_Push_1P1T_XKB_TS-1187A",56.800000,-63.200000,90.000000,top
"U1","W25Q64JV","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",83.770000,-64.075000,-90.000000,top
"U2","~","SK6812-MINI-E",10.100000,-2.700000,180.000000,top
"U3","USBLC6-2P6","SOT-666",59.200000,-9.700000,180.000000,top
"U4","XC6206P332MR-G","SOT-23",58.400000,-13.200000,180.000000,top
"U5","PSSI2021SAY","SOT-353_SC-70-5",65.300000,-3.800000,0.000000,top
"U6","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",74.000000,-64.100000,-90.000000,top
"U7","74LVC1T45","SOT-563",4.300000,-5.900000,90.000000,top
"Y1","12MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",66.700000,-62.300000,0.000000,top
